etID  | Proto-Indo-European | Proto-Balkan-Indo-European | Archaic Proto-Albanian | Classical Proto-Albanian | Middle Proto-Albanian I | Middle Proto-Albanian II | Late Proto-Albanian I | Late Proto-Albanian II | Late Proto-Albanian III | Proto-Tosk-SGheg {GOLD} | Proto-Tosk {GOLD} | Old North Tosk {GOLD} | Standard Albanian | Output {GOLD}
0      | ... | ... | ... | ... | ... | ... | ... | ... | *#ˌaɣjˈazma# | *#hˌaɡjˈaːzmə# {GOLD: >*} | *#hˌaɡjˈaːzmbə# {GOLD: >*} | *#həɟˈazmbə# {GOLD: >*} | *#həɟˈazmbə# | *#həɟˈazmbə# {GOLD: #ajˈazəm#}
1      | ... | ... | ... | ... | ... | ... | *#dərˈɔɲɔ# | *#dərˈɔɲɔ# | *#dərˈɔɲɔ# | *#dərˈɔ̃ːɲ# {GOLD: >*} | *#dəɾˈɔ̃ːɲ# {GOLD: >*} | *#dəɾˈɔɲ# {GOLD: #aðəɾˈɔɲ#} | *#dəɾˈɔɲ# | *#dəɾˈɔɲ# {GOLD: #aðəɾˈɔj#}
2      | ... | ... | ... | ... | *#ˌɑdˌoːrˈɑːɲoː# | *#ˌɑˌørˈɑɲø# | *#ˌɛrˈɑɲɛ# | *#ˌɛrˈɑɲɛ# | *#ˌɛrˈɑɲɛ# | *#hˌɛrˈãːɲ# {GOLD: >*} | *#hˌɛɾˈəːɲ# {GOLD: >*} | *#həɾˈəɲ# {GOLD: #aðəɾˈɔɲ#} | *#həɾˈəɲ# | *#həɾˈəɲ# {GOLD: #aðuɾˈɔj#}
3      | ... | ... | ... | ... | ... | ... | ... | ... | ... | *#hˌarɡˈaːvə# {GOLD: >*} | *#hˌaɾɡˈaːvə# {GOLD: >*} | *#həɾɡˈavə# {GOLD: >*} | *#həɾɡˈavə# | *#həɾɡˈavə# {GOLD: #aɾɡˈɔvə#}
4      | ... | ... | ... | ... | ... | ... | ... | ... | ... | *#hˌarkˈitə# {GOLD: >*} | *#hˌaɾkˈitə# {GOLD: >*} | *#həɾkˈitə# {GOLD: >*} | *#həɾcˈitə# | *#həɾt͡ʃˈitə# {GOLD: #aɾcˈitə#}
5      | ... | ... | ... | ... | ... | ... | ... | ... | ... | *#hˌardɛ̃nˈiːt͡sə# {GOLD: >*} | *#hˌaɾdɛ̃ɾˈiːt͡sə# {GOLD: >*} | *#hˌaɾdəɾˈit͡sə# {GOLD: >*} | *#haɾdəɾˈit͡sə# | *#haɾdəɾˈit͡sə# {GOLD: #aɾdɛnˈit͡sə#}
6      | ... | ... | ... | ... | *#ˌɑdrˌɑːtjˈoːne# | *#ˌɑdrˌɑtjˈonɛ# | *#drətjˈye̯nɛ# | *#drə?1ˈye̯nɛ# | *#drə?1ˈye̯nɛ# | *#dr?1ˈye̯n# {GOLD: #arəsˈyø̯#} | *#dɾ?1ˈye̯n# {GOLD: >*} | *#dɾ?1ˈye̯n# {GOLD: >*} | *#dɾ?1ˈye̯n# | *#dɾ?1ˈye̯n# {GOLD: #aɾsˈye̯#}
7      | ... | ... | ... | ... | *#ˌɑlbɑːnˈeːsu# | *#ˌɑlbɑnˈisu# | *#əlbənˈisu# | *#əlbənˈiʃu# | *#əlbənˈiʃu# | *#həlbə̃nˈiːʃ# {GOLD: #aɾbəɾ̃ˈɛʃ#} | *#həlbə̃ɾˈiːʃ# {GOLD: >*} | *#həlbəɾˈiʃ# {GOLD: >*} | *#həlbəɾˈiʃ# | *#həlbəɾˈiʃ# {GOLD: #aɾbəɾˈɛʃ#}
8      | ... | ... | ... | ... | *#ˌinimˈiːku# | *#ˌenemˈiku# | *#nəmˈiku# | *#nəmˈiku# | *#nəmˈiku# | *#nə̃mˈik# {GOLD: #ˌãɾ̃əmˈik#} | *#nə̃mˈik# {GOLD: >*} | *#nəmˈik# {GOLD: >*} | *#nəmˈik# | *#nəmˈik# {GOLD: #aɾmˈik#}
9      | ... | ... | ... | ... | *#ˌɑrmˈɑːɲoː# | *#ˌɑrmˈɑɲø# | *#ərmˈɑɲɛ# | *#ərmˈɑɲɛ# | *#ərmˈɑɲɛ# | *#hərmˈãːɲ# {GOLD: #aɾmˈɔ̃ɲ#} | *#həɾmˈəːɲ# {GOLD: ...} | ... {GOLD: ...} | ... | ... {GOLD: ...}
