etID  | Classical Proto-Albanian | Middle Proto-Albanian | Middle Proto-Albanian II | Late Proto-Albanian | Proto-Tosk | Old Northern Tosk Albanian | Output {GOLD}
0      | #ˌɑbˌerrˈɑːnioː# | *#ˌɑbˌɛrːˈɒːɲoː# | *#ˌɑbˌɛrːˈoɲø# | *#vərːˈɔ̃ːɲ# | *#urˈɔ̃ːɲ# | *#urˈɔɲ# | *#urˈɔj# {GOLD: #harˈɔj#}
1      | #ˌɑbiˈeːɡnum# | *#ˌɑbjˈeːŋnʊ# | *#ˌɑbjˈeŋnu# | *#vjˈɛ̃ːŋ# | *#vjˈɛ̃ːŋ# | *#vjˈɛŋ# | *#vjˈɛŋ# {GOLD: #vɟˈɛ#}
2      | #ˌɑbiˈeːɡneɑ# | *#ˌɑbjˈeːŋɲɑ# | *#ˌɑbjˈeŋɲɑ# | *#vjˈɛ̃ːɲːə# | *#vjˈɛ̃ːɲə# | *#vjˈɛɲə# | *#vjˈɛɲə# {GOLD: #vɟˈɛɲə#}
3      | #ˌɑblˌewˈɑːnioː# | *#ˌɑblˌɛwˈɒːɲoː# | *#ˌɑblˌɛˈoɲø# | *#blˈɔ̃ːɲ# | *#blˈɔ̃ːɲ# | *#blˈɔɲ# | *#blˈɔj# {GOLD: #blˈɛj#}
4      | #ˌɑdiˌuːnˈɑːnioː# | *#ˌɑdjˌuːnˈɒːɲoː# | *#ˌɑd͡ʒjˌynˈoɲø# | *#zə̃nˈɔ̃ːɲ# | *#zə̃ɾˈɔ̃ːɲ# | *#zəɾˈɔɲ# | *#zəɾˈɔj# {GOLD: #aɟəɾˈɔj#}
5      | #ˌɑdˌoːrˈɑːnioː# | *#ˌɑdˌurˈɒːɲoː# | *#ˌɑdˌurˈoɲø# | *#ðˌurˈɔ̃ːɲ# | *#ðˌuɾˈɔ̃ːɲ# | *#ðˌuɾˈɔɲ# | *#ðuɾˈɔj# {GOLD: #aðuɾˈɔj#}
6      | #ˈɑːeːr# | *#ˈɑːeːr# | *#ˈɑer# | *#ˈaɛr# | *#ˈaɛɾ# | *#ˈaɛɾ# | *#ˈaɛɾ# {GOLD: #ˈɛɾə#}
7      | #ˈɑːeːr# | *#ˈɑːeːr# | *#ˈɑer# | *#ˈaɛr# | *#ˈaɛɾ# | *#ˈaɛɾ# | *#ˈaɛɾ# {GOLD: #ˈajəɾ#}
8      | #ˌae̯rˈɑːmen# | *#ˌɛrˈɑːmɛ# | *#ˌɛrˈɑmɛ# | *#rˈɛ̃ːm# | *#ɾˈɛ̃ːm# | *#ɾˈɛm# | *#ɾˈɛm# {GOLD: #rˈɛmb#}
9      | #ˌae̯stimˈɑːnioː# | *#ˌɛstɪmˈɒːɲoː# | *#ˌɛstimˈoɲø# | *#ʃtə̃mˈɔ̃ːɲ# | *#ʃtə̃mˈɔ̃ːɲ# | *#ʃtəmˈɔɲ# | *#ʃtəmˈɔj# {GOLD: #t͡ʃmˈɔj#}
