etID  | Proto-Indo-European | Proto-Balkan-Indo-European | Archaic Proto-Albanian | Classical Proto-Albanian | Middle Proto-Albanian I | Middle Proto-Albanian II | Late Proto-Albanian I | Late Proto-Albanian II | Late Proto-Albanian III | Proto-Tosk-SGheg | Proto-Tosk | Old North Tosk | Output {GOLD}
0      | ... | ... | ... | ... | ... | ... | ... | ... | *#ˌajˈaːzmə# | *#ˌajˈaːzmə# | *#ˌajˈaːzmə# | *#ˌajˈazmə# | *#ajˈazmə# {GOLD: #ajˈazmə#}
1      | ... | ... | ... | ... | ... | ... | ... | ... | *#ˌavlˠˈi# | *#ˌavlˠˈi# | *#ˌavlˠˈi# | *#ˌavlˠˈi# | *#avlˠˈi# {GOLD: #avlˠˈi#}
2      | ... | ... | ... | *#hˈɑxon# | *#hˈɑxɔ# | *#hˈɑxo# | *#hˈaxo# | *#hˈaxɔ# | *#hˈax# | *#hˈax# | *#hˈah# | *#hˈah# | *#hˈah# {GOLD: #ˈah#}
3      | ... | ... | ... | *#hˈɑlljeːmmɑ# | *#hˈɑlljeːmmɑ# | *#hˈɑʎemmɑ# | *#hˈeʎɪmma# | *#hˈeʎɪ̃mma# | *#hˈɛːʎə̃mːə# | *#hˈɛːʎə̃mːə# | *#hˈɛːʎə̃m# | *#hˈɛjm# | *#hˈɛjm# {GOLD: #ˈaləm#}
4      | ... | ... | ... | *#ˈɑɡrɑː# | *#ˈɑɡrɑː# | *#ˈɑɡrɑ# | *#ˈarɡa# | *#ˈaɾɡa# | *#ˈaːɾɡə# | *#ˈaːɾɡə# | *#ˈaːɾɡə# | *#ˈaɾɡə# | *#ˈaɾɡə# {GOLD: #ˈaɾə#}
5      | ... | ... | ... | *#hˈɑxon# | *#hˈɑxɔ# | *#hˈɑxo# | *#hˈaxo# | *#hˈaxɔ# | *#hˈax# | *#hˈax# | *#hˈah# | *#hˈah# | *#hˈah# {GOLD: #hˈah#}
6      | ... | ... | ... | ... | ... | ... | ... | ... | *#ˌarsˈɛnɡə# | *#ˌaɾsˈɛŋɡə# | *#ˌaɾsˈɛŋɡə# | *#ˌaɾsˈɛŋɡə# | *#aɾsˈɛŋɡə# {GOLD: #əɾsˈiŋɡə#}
7      | ... | ... | ... | *#ˌɑrdɑxˈɑnniː# | *#ˌɑrdɑxˈɑnːi# | *#ˌɑrdɑxˈɑnːi# | *#ˌaːrðaxˈenːɪ# | *#ˌaɾðəxˈẽnːɪ# | *#ˌaɾɣˈɛ̃nː# | *#ˌaɾɣˈɛ̃nː# | *#ˌaɾɣˈɛ̃n# | *#ˌaɾɣˈɛn# | *#aɾɣˈɛn# {GOLD: #ɛɾzˈɛn#}
8      | ... | ... | ... | *#ˈɑɡriːon# | *#ˈɑɡrjɔ# | *#ˈɑɡrjo# | *#ˈarɡjo# | *#ˈaɾɟjɔ# | *#ˈaːɾɟj# | *#ˈaːɾɟ# | *#ˈaːɾɟ# | *#ˈaɾɟ# | *#ˈaɾɟ# {GOLD: #ˈɛɡəɾ#}
9      | ... | ... | ... | *#hjˈentʰjeːmɑj# | *#hjˈɛntʰjeːmɑj# | *#hjˈɛt͡ʃjemɑj# | *#hjˈit͡ʃemaj# | *#hjˈismaj# | *#hˈiːsmɛː# | *#hˈiːsmɛː# | *#hˈiːsmɛː# | *#hˈismɛ# | *#hˈismɛ# {GOLD: #ˈɛndɛm#}
10     | ... | ... | ... | ... | ... | *#ˈɛxon# | *#ˈɛxon# | *#ˈɛːxɔ̃n# | *#jˈɛx# | *#jˈɛx# | *#jˈɛh# | *#jˈɛh# | *#jˈɛh# {GOLD: #jˈɛh#}
11     | ... | ... | ... | ... | ... | *#jˌod͡zˈɛfo# | *#jˌod͡zˈɛfo# | *#jˌɔzˈɛfɔ# | *#jˌɔzˈɛːf# | *#jˌɔzˈɛːf# | *#jˌɔzˈɛːf# | *#jˌɔzˈɛf# | *#jɔzˈɛf# {GOLD: #jɔzˈɛf#}
