etID  | Classical Proto-Albanian | Middle Proto-Albanian I | Middle Proto-Albanian II | Late Proto-Albanian I | Late Proto-Albanian II | Late Proto-Albanian III | Proto-Tosk-SGheg {GOLD} | Proto-Tosk {GOLD} | Old North Tosk {GOLD} | Output {GOLD}
0      | #ˌɑbˌerrˈɑːnioː# | *#ˌɑbˌɛrrˈɒːnjo# | *#ˌɑvˌɛrrˈoɲo# | *#hˌavˌɛrrˈoɲo# | *#hˌavɪɾɾˈɔ̃ɲɔ# | *#hˌavərːˈɔ̃ɲ# | *#hˌavərˈɔ̃ɲ# {GOLD: >*} | *#hˌavərˈɔ̃ɲ# {GOLD: >*} | *#hˌavərˈɔɲ# {GOLD: >*} | *#havərˈɔj# {GOLD: #harˈɔj#}
1      | #ˌɑbiˈeːɡnum# | *#ˌɑbjˈeːŋnʊ# | *#ˌɑvjˈeŋnu# | *#vˈeŋnu# | *#vˈẽŋnu# | *#vˈɛ̃ŋ# | *#vˈɛ̃ŋɡ# {GOLD: #vɟˈɛ̃ː#} | *#vˈɛ̃ŋɡ# {GOLD: >*} | *#vˈɛŋɡ# {GOLD: >*} | *#vˈɛŋɡ# {GOLD: #vɟˈɛ#}
2      | #ˌɑbiˈeːɡneɑ# | *#ˌɑbjˈeːŋnjɑ# | *#ˌɑvjˈeŋɲɑ# | *#vˈeŋɲa# | *#vˈẽŋɲa# | *#vˈɛ̃ɲːə# | *#vˈɛ̃ɲːə# {GOLD: >*} | *#vˈɛ̃ɲə# {GOLD: >*} | *#vˈɛɲə# {GOLD: >*} | *#vˈɛɲə# {GOLD: #vɟˈɛɲə#}
3      | ... | ... | ... | *#blˈɛwoɲɔ# | *#blˈɛ̃ːɲɔ# | *#blˈĩe̯ɲ# | *#blˈĩe̯ɲ# {GOLD: >*} | *#blˈĩe̯ɲ# {GOLD: >*} | *#blˈie̯ɲ# {GOLD: >*} | *#blˈie̯j# {GOLD: #blˈɛj#}
4      | ... | ... | ... | *#vlˈɔna# | *#vlˈɔ̃ɾ̃a# | *#vlˈɔ̃ɾ̃ə# | *#vlˈɔ̃ɾ̃ə# {GOLD: #vlˈɔ̃ɾ̃ə#} | *#vlˈɔ̃ɾ̃ə# {GOLD: #vlˈɔ̃ɾ̃ə#} | *#vlˈɔɾə# {GOLD: >*} | *#vlˈɔɾə# {GOLD: #vlˈɔɾə#}
5      | ... | ... | ... | *#vlˌɔɲˈatɔn# | *#vlˌɔ̃ɲˈatɔ̃n# | *#vlˌɔ̃ɲˈat# | *#vlˌɔ̃ɲˈat# {GOLD: #vlˌɔ̃ɲˈat#} | *#vlˌɔɲˈat# {GOLD: >*} | *#vlˌɔɲˈat# {GOLD: >*} | *#vlɔɲˈat# {GOLD: #vlɔɲˈat#}
6      | #ˌɑdˌoːrˈɑːnioː# | *#ˌɑdˌurˈɒːnjo# | *#ˌɑdˌurˈoɲo# | *#ˌaːðˌurˈoɲo# | *#ˌaðˌuɾˈɔ̃ɲɔ# | *#ˌaðˌuɾˈɔ̃ɲ# | *#ˌaðˌuɾˈɔ̃ɲ# {GOLD: >*} | *#ˌaðˌuɾˈɔ̃ɲ# {GOLD: >*} | *#ˌaðˌuɾˈɔɲ# {GOLD: #aðəɾˈɔɲ#} | *#aðuɾˈɔj# {GOLD: #aðuɾˈɔj#}
7      | ... | ... | ... | *#ˌaːðorˈɔɲɔ# | *#ˌaðəɾˈɔ̃ɲɔ# | *#ˌaðəɾˈɔ̃ɲ# | *#ˌaðəɾˈɔ̃ɲ# {GOLD: >*} | *#ˌaðəɾˈɔ̃ɲ# {GOLD: >*} | *#ˌaðəɾˈɔɲ# {GOLD: #aðəɾˈɔɲ#} | *#aðəɾˈɔj# {GOLD: #aðəɾˈɔj#}
8      | #ˈɑːeːr# | *#ˈɑːeːr# | *#ˈɑer# | *#ˈaer# | *#ˈajɾ# | *#ˈajɾ# | *#ˈajɾ̩# {GOLD: >*} | *#ˈajɾ̩# {GOLD: >*} | *#ˈajɾ̩# {GOLD: >*} | *#ˈajəɾ# {GOLD: #ˈajəɾ#}
9      | #ˌae̯rˈɑːmen# | *#ˌɛrˈɑːmɛ# | *#ˌɛrˈemɛ# | *#rːˈemɪ# | *#rːˈẽmɪ# | *#rːˈɛ̃m# | *#rˈɛ̃m# {GOLD: >*} | *#rˈɛ̃m# {GOLD: #rˈɛ̃mb#} | *#rˈɛm# {GOLD: >*} | *#rˈɛm# {GOLD: #rˈɛmb#}
