etID  | Proto-Indo-European | Proto-Balkan-Indo-European | Archaic Proto-Albanian | Classical Proto-Albanian | Middle Proto-Albanian I | Middle Proto-Albanian II | Late Proto-Albanian I | Late Proto-Albanian II | Late Proto-Albanian III | Proto-Tosk-SGheg {GOLD} | Proto-Tosk | Old North Tosk | Output {GOLD}
0      | ... | ... | ... | ... | ... | ... | ... | ... | ... | *#ˌaɾɡˈɔva# {GOLD: >*} | *#ˌaɾɡˈɔvə# | *#ˌaɾɡˈɔvə# | *#aɾɡˈɔvə# {GOLD: #aɾɡˈɔvə#}
1      | ... | ... | ... | ... | ... | ... | ... | ... | ... | *#ˌaɾkˈita# {GOLD: >*} | *#ˌaɾkˈitə# | *#ˌaɾkˈitə# | *#aɾcˈitə# {GOLD: #aɾcˈitə#}
2      | ... | ... | ... | ... | ... | ... | ... | ... | ... | *#ˌaɾdɛnˈit͡sa# {GOLD: >*} | *#ˌaɾdɛnˈit͡sə# | *#ˌaɾdɛnˈit͡sə# | *#aɾdɛnˈit͡sə# {GOLD: #aɾdɛnˈit͡sə#}
3      | ... | ... | ... | ... | ... | ... | ... | *#ˌɑwˈitɪ# | *#ˌɑwˈit# | *#ˌawˈit# {GOLD: #ˌavˈit#} | *#ˌavˈit# | *#ˌavˈit# | *#avˈit# {GOLD: #avˈit#}
4      | ... | ... | ... | ... | ... | ... | ... | *#xˌɑɾˌɑbˈɪlɪ# | *#xˌɑɾˌɑbˈɛːl# | *#xˌaɾˌabˈɛːl# {GOLD: >*} | *#hˌaɾˌabˈɛːl# | *#hˌaɾˌabˈɛl# | *#haɾabˈɛl# {GOLD: #haɾabˈɛl#}
5      | ... | ... | ... | ... | ... | ... | ... | ... | ... | *#xˌabˈit# {GOLD: >*} | *#hˌabˈit# | *#hˌabˈit# | *#habˈit# {GOLD: #habˈit#}
6      | ... | ... | ... | ... | ... | ... | ... | ... | ... | *#xˌitˈat# {GOLD: >*} | *#hˌitˈat# | *#hˌitˈat# | *#hitˈat# {GOLD: #hitˈat#}
7      | ... | ... | ... | ... | ... | ... | ... | ... | *#xˌɒrmˈɒvɑ# | *#xˌɔɾmˈɔva# {GOLD: #xˌɒrmˈɔvə#} | *#hˌɔɾmˈɔvə# | *#hˌɔɾmˈɔvə# | *#hɔɾmˈɔvə# {GOLD: #hɔɾmˈɔvə#}
8      | ... | ... | ... | ... | ... | ... | ... | ... | ... | *#xˈɔːɾa# {GOLD: >*} | *#hˈɔːɾə# | *#hˈɔɾə# | *#hˈɔɾə# {GOLD: #hˈɔɾə#}
9      | ... | ... | ... | ... | ... | ... | ... | ... | ... | *#xˌukˈat# {GOLD: >*} | *#hˌukˈat# | *#hˌukˈat# | *#hukˈat# {GOLD: #hukˈat#}
10     | ... | ... | ... | ... | ... | ... | ... | ... | ... | *#jˌaɾˈina# {GOLD: >*} | *#jˌaɾˈinə# | *#jˌaɾˈinə# | *#jaɾˈinə# {GOLD: #jaɾˈinə#}
11     | ... | ... | ... | ... | ... | ... | ... | *#jˌɑɾˈɔə̯# | *#jˌɑɾˈuo̯# | *#jˌaɾˈuo̯# {GOLD: >*} | *#jˌaɾˈua̯# | *#jˌaɾˈua̯# | *#jaɾˈua̯# {GOLD: #jaɾˈua̯#}
