ID,CFR_prediction,gold,rawLevenshteinED,phonemewiseLevenshteinED,featureED,pred_phone_length,gold_phone_length
0,*/θˈiɲə/,/θˈiɲə/,0,0.0,0.0,4,4
1,*/θˈəmbəɾ/,/θˈɛmbəɾ/,1,0.16666666666666666,0.057692307692307696,6,6
2,*/θˈɛʃtəɾ/,/θˈadəɾ/,3,0.6,0.6346153846153846,6,5
3,*/θmˈɛt͡ʃ/,/θəɾˈi/,3,0.75,0.9615384615384616,4,4
4,*/θˈɛˠɾəv/,/θˈaɾb/,3,0.75,0.75,5,4
5,*/θˈɛˠɾptə/,/θˈaɾbət/,4,0.6666666666666666,0.8461538461538461,6,6
6,*/θˈɛˠɾsə/,/θˈaɾtə/,2,0.4,0.21153846153846154,5,5
7,*/θˈiˠɾhəm/,/θˈaɾm/,3,0.75,1.0384615384615385,6,4
8,*/θˈɛˠɾc/,/θˈaɾk/,2,0.5,0.19230769230769232,4,4
9,*/θˈɛˠlˠə/,/θˈɛlˠə/,1,0.25,0.038461538461538464,4,4
10,*/t͡sˈafkə/,/θˈɛk/,4,1.3333333333333333,1.4038461538461537,5,3
11,*/θˈukə/,/sˈukə/,1,0.25,0.07692307692307693,4,4
12,*/θˈup/,/sˈup/,1,0.3333333333333333,0.07692307692307693,3,3
13,*/tuθˈup/,/t͡sˈup/,3,1.0,1.8076923076923077,5,3
14,*/cˈye̯ɲə/,/cˈua̯j/,4,1.0,0.6538461538461539,5,4
15,*/cwɲə/,/cˈaj/,3,1.0,0.8461538461538461,4,3
16,*/ðˈəmtəɾ/,/ðˈənduɾə/,4,0.5714285714285714,0.7884615384615384,6,7
17,*/zˈəmbə/,/ðˈɛmb/,3,0.75,0.6346153846153846,5,4
18,*/ðˈimb/,/ðˈəmb/,1,0.25,0.09615384615384616,4,4
19,*/nˈəmə/,/ɲˈɔmə/,2,0.5,0.3076923076923077,4,4
20,*/zˈɛnd/,/ðˈɛn/,2,0.6666666666666666,0.4230769230769231,4,3
21,*/fˈit/,/ɲˈɛh/,3,1.0,0.6153846153846154,3,3
22,*/fˈiʃ/,/ɲˈɛh/,3,1.0,0.5961538461538461,3,3
23,*/nˈɔθə/,/ɲˈɔh/,3,1.0,0.8461538461538461,4,3
24,*/nˈu/,/ɟˈu/,1,0.5,0.3076923076923077,2,2
25,*/ɡɾˈunə/,/ɡɾˈuɾə/,1,0.2,0.09615384615384616,5,5
26,*/ɡɾˈuɲə/,/ɡɾˈyɲə/,1,0.2,0.07692307692307693,5,5
27,*/dəmˈɛˠɾ/,/dˈiməɾ/,2,0.4,0.34615384615384615,5,5
28,*/dˈɛˠɾ/,/zˈə/,3,1.5,0.8076923076923077,3,2
29,*/dˈɔɟ/,/zˈɔɡ/,2,0.6666666666666666,0.17307692307692307,3,3
30,*/dˈylˠt͡ʃ/,/dˈylˠə/,1,0.25,0.38461538461538464,4,4
31,*/dˈə/,/ðˈɛ/,2,1.0,0.15384615384615385,2,2
32,*/zˈaɟ͡ʝaʃ/,/ðˈɛ/,5,2.5,2.076923076923077,5,2
33,*/dˈim/,/ðˈɛmjɛ/,4,0.8,0.9615384615384616,3,5
34,*/zˈɛʃ/,/djˈɛ/,3,1.0,0.5576923076923077,3,3
35,*/dˈiʃ/,/djˈɛ/,2,0.6666666666666666,0.38461538461538464,3,3
36,*/djˈɛsə/,/ðjˈɛs/,2,0.5,0.6346153846153846,5,4
37,*/dˈɔɾə/,/dˈɔɾə/,0,0.0,0.0,4,4
38,*/dˈua̯ɾ/,/dˈua̯ɾ/,0,0.0,0.0,4,4
39,*/dˈiˠj/,/dˈɛr/,2,0.6666666666666666,0.34615384615384615,3,3
40,*/dˈɛɾʃ/,/djˈɛr/,3,0.75,0.7115384615384616,4,4
41,*/dɾˈɘðə/,/dɾˈiθə/,2,0.4,0.11538461538461539,5,5
42,*/ɟˈɛfʃ/,/ˈiθ/,4,2.0,1.1923076923076923,4,2
43,*/ɟˈiʃtʃ/,/jˈaʃtə/,3,0.6,0.5576923076923077,5,5
44,*/ɟˈy/,/ʃˈi/,2,1.0,0.3076923076923077,2,2
45,*/ˈaj/,/ˈujə/,2,0.6666666666666666,0.6153846153846154,2,3
46,*/hvəɟˈi/,/vˈɛʃ/,4,1.3333333333333333,1.3846153846153846,5,3
47,*/hvəɟˈit/,/vˈɛʃ/,5,1.6666666666666667,1.7692307692307692,6,3
48,*/ɟˈɛm/,/ˈim/,2,1.0,0.5769230769230769,3,2
49,*/həm/,/mə/,2,1.0,0.8269230769230769,3,2
50,*/hmˈə/,/mˈua̯/,3,1.0,0.7692307692307693,3,3
51,*/hvˈəɾə/,/vˈə/,3,1.5,1.4230769230769231,5,2
52,*/ɟˈɛtəɾ/,/jˈɛtəɾ/,1,0.2,0.15384615384615385,5,5
53,*/ɟˈɛsə/,/jˈɛs/,2,0.6666666666666666,0.6923076923076923,4,3
54,*/ɟˈit͡ʃ/,/jˈɛt/,3,1.0,0.4230769230769231,3,3
55,*/ɟˈit/,/jˈɛt/,2,0.6666666666666666,0.23076923076923078,3,3
